日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/07/14,"758,462,486","128,003,379,548",177.00,181.00,159.00,163.00,-13.00,"374,394"
110/07/15,"426,579,560","73,893,333,983",170.00,179.00,166.00,179.00,+16.00,"185,426"
110/07/16,"650,673,396","122,359,022,945",183.00,195.50,182.00,188.00,+9.00,"326,041"
110/07/19,"413,675,099","79,529,589,872",193.00,196.50,186.50,188.00, 0.00,"195,082"
110/07/20,"488,666,127","86,425,236,284",185.00,185.50,170.00,170.50,-17.50,"223,033"
110/07/21,"482,445,663","78,814,432,178",176.50,180.00,153.50,153.50,-17.00,"258,959"
110/07/22,"458,906,292","65,538,772,065",153.50,155.00,138.50,140.50,-13.00,"221,123"
110/07/23,"437,511,960","62,394,119,719",142.00,149.50,134.50,145.50,+5.00,"222,545"
110/07/26,"256,173,773","36,249,698,059",145.50,147.00,134.00,136.00,-9.50,"126,817"
110/07/27,"334,105,935","42,201,837,036",130.50,134.00,122.50,122.50,-13.50,"156,345"
110/07/28,"485,289,013","56,894,994,229",123.00,125.00,110.50,118.00,-4.50,"220,537"
110/07/29,"54,595,224","6,839,459,565",121.00,129.50,120.00,129.50,+11.50,"24,327"
110/07/30,"52,473,788","6,763,938,477",135.00,135.00,117.00,117.00,-12.50,"22,860"
110/08/02,"38,357,210","4,446,238,023",114.50,125.00,110.00,120.00,+3.00,"14,174"
110/08/03,"32,839,374","4,115,748,384",120.50,128.00,120.50,126.00,+6.00,"11,753"
110/08/04,"23,621,111","3,050,368,096",127.00,131.00,127.00,129.00,+3.00,"9,839"
110/08/05,"22,375,859","2,831,460,466",129.00,129.00,125.50,125.50,-3.50,"7,576"
110/08/06,"25,854,325","3,421,452,083",126.00,135.00,126.00,131.00,+5.50,"11,698"
110/08/09,"19,215,184","2,571,346,729",131.50,135.50,131.50,132.50,+1.50,"7,273"
110/08/10,"29,118,122","3,775,421,651",134.00,134.00,126.00,130.00,-2.50,"9,335"
110/08/11,"33,609,261","4,111,366,128",126.50,127.00,117.00,125.00,-5.00,"12,931"
110/08/12,"315,314,705","40,287,624,802",124.50,133.50,121.00,133.50,+8.50,"118,434"
110/08/13,"457,392,302","62,133,280,280",133.00,140.00,131.00,133.00,-0.50,"180,689"
110/08/16,"302,376,585","39,853,392,553",135.00,136.50,125.00,126.00,-7.00,"122,425"
110/08/17,"187,972,500","24,001,265,341",129.00,131.00,123.00,124.50,-1.50,"81,289"
110/08/18,"325,683,248","42,428,534,457",123.50,136.50,121.00,136.50,+12.00,"142,925"
110/08/19,"348,450,855","46,107,230,600",135.00,137.50,126.00,126.50,-10.00,"162,153"
110/08/20,"186,507,131","24,047,947,969",129.50,131.50,126.00,130.50,+4.00,"83,289"
